Date,Cases Reported to SMU,Cumulative Cases
2020-08-05,1.0,1.0
2020-08-06,4.0,5.0
2020-08-08,1.0,6.0
2020-08-09,2.0,8.0
2020-08-10,1.0,9.0
2020-08-12,3.0,12.0
2020-08-14,1.0,13.0
2020-08-16,1.0,14.0
2020-08-17,1.0,15.0
2020-08-18,1.0,16.0
2020-08-19,6.0,22.0
2020-08-20,2.0,24.0
2020-08-22,1.0,25.0
2020-08-23,2.0,27.0
2020-08-25,9.0,36.0
2020-08-26,12.0,48.0
2020-08-27,13.0,61.0
2020-08-28,9.0,70.0
2020-08-29,22.0,92.0
2020-08-30,8.0,100.0
2020-08-31,21.0,121.0
2020-09-01,14.0,135.0
2020-09-02,31.0,166.0
2020-09-03,43.0,209.0
2020-09-04,17.0,226.0
2020-09-05,26.0,252.0
2020-09-06,21.0,273.0
2020-09-07,19.0,292.0
2020-09-08,17.0,309.0
2020-09-09,35.0,344.0
2020-09-10,26.0,370.0
2020-09-11,26.0,396.0
2020-09-12,21.0,417.0
2020-09-13,10.0,427.0
