County Name,Date,Cases
Anderson,03-04-2020,0.0
Andrews,03-04-2020,0.0
Angelina,03-04-2020,0.0
Aransas,03-04-2020,0.0
Archer,03-04-2020,0.0
Armstrong,03-04-2020,0.0
Atascosa,03-04-2020,0.0
Austin,03-04-2020,0.0
Bailey,03-04-2020,0.0
Bandera,03-04-2020,0.0
Bastrop,03-04-2020,0.0
Baylor,03-04-2020,0.0
Bee,03-04-2020,0.0
Bell,03-04-2020,0.0
Bexar,03-04-2020,0.0
Blanco,03-04-2020,0.0
Borden,03-04-2020,0.0
Bosque,03-04-2020,0.0
Bowie,03-04-2020,0.0
Brazoria,03-04-2020,0.0
Brazos,03-04-2020,0.0
Brewster,03-04-2020,0.0
Briscoe,03-04-2020,0.0
Brooks,03-04-2020,0.0
Brown,03-04-2020,0.0
Burleson,03-04-2020,0.0
Burnet,03-04-2020,0.0
Caldwell,03-04-2020,0.0
Calhoun,03-04-2020,0.0
Callahan,03-04-2020,0.0
Cameron,03-04-2020,0.0
Camp,03-04-2020,0.0
Carson,03-04-2020,0.0
Cass,03-04-2020,0.0
Castro,03-04-2020,0.0
Chambers,03-04-2020,0.0
Cherokee,03-04-2020,0.0
Childress,03-04-2020,0.0
Clay,03-04-2020,0.0
Cochran,03-04-2020,0.0
Coke,03-04-2020,0.0
Coleman,03-04-2020,0.0
Collin,03-04-2020,0.0
Collingsworth,03-04-2020,0.0
Colorado,03-04-2020,0.0
Comal,03-04-2020,0.0
Comanche,03-04-2020,0.0
Concho,03-04-2020,0.0
Cooke,03-04-2020,0.0
Coryell,03-04-2020,0.0
Cottle,03-04-2020,0.0
Crane,03-04-2020,0.0
Crockett,03-04-2020,0.0
Crosby,03-04-2020,0.0
Culberson,03-04-2020,0.0
Dallam,03-04-2020,0.0
Dallas,03-04-2020,0.0
Dawson,03-04-2020,0.0
Deaf Smith,03-04-2020,0.0
Delta,03-04-2020,0.0
Denton,03-04-2020,0.0
DeWitt,03-04-2020,0.0
Dickens,03-04-2020,0.0
Dimmit,03-04-2020,0.0
Donley,03-04-2020,0.0
Duval,03-04-2020,0.0
Eastland,03-04-2020,0.0
Ector,03-04-2020,0.0
Edwards,03-04-2020,0.0
Ellis,03-04-2020,0.0
El Paso,03-04-2020,0.0
Erath,03-04-2020,0.0
Falls,03-04-2020,0.0
Fannin,03-04-2020,0.0
Fayette,03-04-2020,0.0
Fisher,03-04-2020,0.0
Floyd,03-04-2020,0.0
Foard,03-04-2020,0.0
Fort Bend,03-04-2020,0.0
Franklin,03-04-2020,0.0
Freestone,03-04-2020,0.0
Frio,03-04-2020,0.0
Gaines,03-04-2020,0.0
Galveston,03-04-2020,0.0
Garza,03-04-2020,0.0
Gillespie,03-04-2020,0.0
Glasscock,03-04-2020,0.0
Goliad,03-04-2020,0.0
Gonzales,03-04-2020,0.0
Gray,03-04-2020,0.0
Grayson,03-04-2020,0.0
Gregg,03-04-2020,0.0
Grimes,03-04-2020,0.0
Guadalupe,03-04-2020,0.0
Hale,03-04-2020,0.0
Hall,03-04-2020,0.0
Hamilton,03-04-2020,0.0
Hansford,03-04-2020,0.0
Hardeman,03-04-2020,0.0
Hardin,03-04-2020,0.0
Harris,03-04-2020,0.0
Harrison,03-04-2020,0.0
Hartley,03-04-2020,0.0
Haskell,03-04-2020,0.0
Hays,03-04-2020,0.0
Hemphill,03-04-2020,0.0
Henderson,03-04-2020,0.0
Hidalgo,03-04-2020,0.0
Hill,03-04-2020,0.0
Hockley,03-04-2020,0.0
Hood,03-04-2020,0.0
Hopkins,03-04-2020,0.0
Houston,03-04-2020,0.0
Howard,03-04-2020,0.0
Hudspeth,03-04-2020,0.0
Hunt,03-04-2020,0.0
Hutchinson,03-04-2020,0.0
Irion,03-04-2020,0.0
Jack,03-04-2020,0.0
Jackson,03-04-2020,0.0
Jasper,03-04-2020,0.0
Jeff Davis,03-04-2020,0.0
Jefferson,03-04-2020,0.0
Jim Hogg,03-04-2020,0.0
Jim Wells,03-04-2020,0.0
Johnson,03-04-2020,0.0
Jones,03-04-2020,0.0
Karnes,03-04-2020,0.0
Kaufman,03-04-2020,0.0
Kendall,03-04-2020,0.0
Kenedy,03-04-2020,0.0
Kent,03-04-2020,0.0
Kerr,03-04-2020,0.0
Kimble,03-04-2020,0.0
King,03-04-2020,0.0
Kinney,03-04-2020,0.0
Kleberg,03-04-2020,0.0
Knox,03-04-2020,0.0
Lamar,03-04-2020,0.0
Lamb,03-04-2020,0.0
Lampasas,03-04-2020,0.0
La Salle,03-04-2020,0.0
Lavaca,03-04-2020,0.0
Lee,03-04-2020,0.0
Leon,03-04-2020,0.0
Liberty,03-04-2020,0.0
Limestone,03-04-2020,0.0
Lipscomb,03-04-2020,0.0
Live Oak,03-04-2020,0.0
Llano,03-04-2020,0.0
Loving,03-04-2020,0.0
Lubbock,03-04-2020,0.0
Lynn,03-04-2020,0.0
McCulloch,03-04-2020,0.0
McLennan,03-04-2020,0.0
McMullen,03-04-2020,0.0
Madison,03-04-2020,0.0
Marion,03-04-2020,0.0
Martin,03-04-2020,0.0
Mason,03-04-2020,0.0
Matagorda,03-04-2020,0.0
Maverick,03-04-2020,0.0
Medina,03-04-2020,0.0
Menard,03-04-2020,0.0
Midland,03-04-2020,0.0
Milam,03-04-2020,0.0
Mills,03-04-2020,0.0
Mitchell,03-04-2020,0.0
Montague,03-04-2020,0.0
Montgomery,03-04-2020,0.0
Moore,03-04-2020,0.0
Morris,03-04-2020,0.0
Motley,03-04-2020,0.0
Nacogdoches,03-04-2020,0.0
Navarro,03-04-2020,0.0
Newton,03-04-2020,0.0
Nolan,03-04-2020,0.0
Nueces,03-04-2020,0.0
Ochiltree,03-04-2020,0.0
Oldham,03-04-2020,0.0
Orange,03-04-2020,0.0
Palo Pinto,03-04-2020,0.0
Panola,03-04-2020,0.0
Parker,03-04-2020,0.0
Parmer,03-04-2020,0.0
Pecos,03-04-2020,0.0
Polk,03-04-2020,0.0
Potter,03-04-2020,0.0
Presidio,03-04-2020,0.0
Rains,03-04-2020,0.0
Randall,03-04-2020,0.0
Reagan,03-04-2020,0.0
Real,03-04-2020,0.0
Red River,03-04-2020,0.0
Reeves,03-04-2020,0.0
Refugio,03-04-2020,0.0
Roberts,03-04-2020,0.0
Robertson,03-04-2020,0.0
Rockwall,03-04-2020,0.0
Runnels,03-04-2020,0.0
Rusk,03-04-2020,0.0
Sabine,03-04-2020,0.0
San Augustine,03-04-2020,0.0
San Jacinto,03-04-2020,0.0
San Patricio,03-04-2020,0.0
San Saba,03-04-2020,0.0
Schleicher,03-04-2020,0.0
Scurry,03-04-2020,0.0
Shackelford,03-04-2020,0.0
Shelby,03-04-2020,0.0
Sherman,03-04-2020,0.0
Smith,03-04-2020,0.0
Somervell,03-04-2020,0.0
Starr,03-04-2020,0.0
Stephens,03-04-2020,0.0
Sterling,03-04-2020,0.0
Stonewall,03-04-2020,0.0
Sutton,03-04-2020,0.0
Swisher,03-04-2020,0.0
Tarrant,03-04-2020,0.0
Taylor,03-04-2020,0.0
Terrell,03-04-2020,0.0
Terry,03-04-2020,0.0
Throckmorton,03-04-2020,0.0
Titus,03-04-2020,0.0
Tom Green,03-04-2020,0.0
Travis,03-04-2020,0.0
Trinity,03-04-2020,0.0
Tyler,03-04-2020,0.0
Upshur,03-04-2020,0.0
Upton,03-04-2020,0.0
Uvalde,03-04-2020,0.0
Val Verde,03-04-2020,0.0
Van Zandt,03-04-2020,0.0
Victoria,03-04-2020,0.0
Walker,03-04-2020,0.0
Waller,03-04-2020,0.0
Ward,03-04-2020,0.0
Washington,03-04-2020,0.0
Webb,03-04-2020,0.0
Wharton,03-04-2020,0.0
Wheeler,03-04-2020,0.0
Wichita,03-04-2020,0.0
Wilbarger,03-04-2020,0.0
Willacy,03-04-2020,0.0
